Substrate.drawing                                    40/0
Substrate.text                                       40/25
Activ.drawing                                        1/0
Activ.label                                          1/1
Activ.pin                                            1/2
Activ.net                                            1/3
Activ.boundary                                       1/4
Activ.lvs                                            1/19
Activ.mask                                           1/20
Activ.filler                                         1/22
Activ.nofill                                         1/23
Activ.OPC                                            1/26
Activ.iOPC                                           1/27
Activ.noqrc                                          1/28
GatPoly.drawing                                      5/0
GatPoly.label                                        5/1
GatPoly.pin                                          5/2
GatPoly.net                                          5/3
GatPoly.boundary                                     5/4
GatPoly.filler                                       5/22
GatPoly.nofill                                       5/23
GatPoly.OPC                                          5/26
GatPoly.iOPC                                         5/27
GatPoly.noqrc                                        5/28
PolyRes.drawing                                      128/0
PolyRes.label                                        128/1
PolyRes.pin                                          128/2
PolyRes.net                                          128/3
PolyRes.boundary                                     128/4
NWell.drawing                                        31/0
NWell.label                                          31/1
NWell.pin                                            31/2
NWell.net                                            31/3
NWell.boundary                                       31/4
nBuLay.drawing                                       32/0
nBuLay.label                                         32/1
nBuLay.pin                                           32/2
nBuLay.net                                           32/3
nBuLay.boundary                                      32/4
nBuLay.block                                         32/21
PWell.block                                          46/21
pSD.drawing                                          14/0
nSD.drawing                                          7/0
nSD.block                                            7/21
SalBlock.drawing                                     28/0
ThickGateOx.drawing                                  44/0
Cont.drawing                                         6/0
Cont.net                                             6/3
Cont.boundary                                        6/4
Cont.OPC                                             6/26
Metal1.drawing                                       8/0
Metal1.label                                         8/1
Metal1.pin                                           8/2
Metal1.net                                           8/3
Metal1.boundary                                      8/4
Metal1.mask                                          8/20
Metal1.filler                                        8/22
Metal1.nofill                                        8/23
Metal1.slit                                          8/24
Metal1.text                                          8/25
Metal1.OPC                                           8/26
Metal1.noqrc                                         8/28
Metal1.res                                           8/29
Metal1.iprobe                                        8/33
Metal1.diffprb                                       8/34
Via1.drawing                                         19/0
Via1.net                                             19/3
Via1.boundary                                        19/4
Metal2.drawing                                       10/0
Metal2.label                                         10/1
Metal2.pin                                           10/2
Metal2.net                                           10/3
Metal2.boundary                                      10/4
Metal2.mask                                          10/20
Metal2.filler                                        10/22
Metal2.nofill                                        10/23
Metal2.slit                                          10/24
Metal2.text                                          10/25
Metal2.OPC                                           10/26
Metal2.noqrc                                         10/28
Metal2.res                                           10/29
Metal2.iprobe                                        10/33
Metal2.diffprb                                       10/34
Via2.drawing                                         29/0
Via2.net                                             29/3
Via2.boundary                                        29/4
Metal3.drawing                                       30/0
Metal3.label                                         30/1
Metal3.pin                                           30/2
Metal3.net                                           30/3
Metal3.boundary                                      30/4
Metal3.mask                                          30/20
Metal3.filler                                        30/22
Metal3.nofill                                        30/23
Metal3.slit                                          30/24
Metal3.text                                          30/25
Metal3.OPC                                           30/26
Metal3.noqrc                                         30/28
Metal3.res                                           30/29
Metal3.iprobe                                        30/33
Metal3.diffprb                                       30/34
MIM.drawing                                          36/0
MIM.net                                              36/3
MIM.boundary                                         36/4
Vmim.drawing                                         129/0
Via3.drawing                                         49/0
Via3.net                                             49/3
Via3.boundary                                        49/4
Metal4.drawing                                       50/0
Metal4.label                                         50/1
Metal4.pin                                           50/2
Metal4.net                                           50/3
Metal4.boundary                                      50/4
Metal4.mask                                          50/20
Metal4.filler                                        50/22
Metal4.nofill                                        50/23
Metal4.slit                                          50/24
Metal4.text                                          50/25
Metal4.OPC                                           50/26
Metal4.noqrc                                         50/28
Metal4.res                                           50/29
Metal4.iprobe                                        50/33
Metal4.diffprb                                       50/34
Via4.drawing                                         66/0
Via4.net                                             66/3
Via4.boundary                                        66/4
Metal5.drawing                                       67/0
Metal5.label                                         67/1
Metal5.pin                                           67/2
Metal5.net                                           67/3
Metal5.boundary                                      67/4
Metal5.mask                                          67/20
Metal5.filler                                        67/22
Metal5.nofill                                        67/23
Metal5.slit                                          67/24
Metal5.text                                          67/25
Metal5.OPC                                           67/26
Metal5.noqrc                                         67/28
Metal5.res                                           67/29
Metal5.iprobe                                        67/33
Metal5.diffprb                                       67/34
TopVia1.drawing                                      125/0
TopVia1.net                                          125/3
TopVia1.boundary                                     125/4
TopMetal1.drawing                                    126/0
TopMetal1.label                                      126/1
TopMetal1.pin                                        126/2
TopMetal1.net                                        126/3
TopMetal1.boundary                                   126/4
TopMetal1.mask                                       126/20
TopMetal1.filler                                     126/22
TopMetal1.nofill                                     126/23
TopMetal1.slit                                       126/24
TopMetal1.text                                       126/25
TopMetal1.noqrc                                      126/28
TopMetal1.res                                        126/29
TopMetal1.iprobe                                     126/33
TopMetal1.diffprb                                    126/34
TopVia2.drawing                                      133/0
TopVia2.net                                          133/3
TopVia2.boundary                                     133/4
TopMetal2.drawing                                    134/0
TopMetal2.label                                      134/1
TopMetal2.pin                                        134/2
TopMetal2.net                                        134/3
TopMetal2.boundary                                   134/4
TopMetal2.mask                                       134/20
TopMetal2.filler                                     134/22
TopMetal2.nofill                                     134/23
TopMetal2.slit                                       134/24
TopMetal2.text                                       134/25
TopMetal2.noqrc                                      134/28
TopMetal2.res                                        134/29
TopMetal2.iprobe                                     134/33
TopMetal2.diffprb                                    134/34
Passiv.drawing                                       9/0
Passiv.label                                         9/1
Passiv.pin                                           9/2
Passiv.net                                           9/3
Passiv.boundary                                      9/4
Passiv.pillar                                        9/35
Passiv.sbump                                         9/36
Passiv.pdl                                           9/40
NoMetFiller.drawing                                  160/0
ThinFilmRes.drawing                                  146/0
IND.drawing                                          27/0
IND.pin                                              27/2
IND.boundary                                         27/4
IND.text                                             27/25
EdgeSeal.drawing                                     39/0
EdgeSeal.boundary                                    39/4
dfpad.drawing                                        41/0
